ticker,event,event_date,window_30d,window_90d,window_180d
AXON,9_11_2001,2001-09-11,29.642863437837597,42.3810063495126,101.19042398572691
AXON,boston_marathon_2013,2013-04-15,17.647057356902263,18.954251869622386,97.6470548636361
AXON,post_soleimani_2020,2020-01-03,4.950623586645131,-15.271203664173317,34.41093241768216
MSI,9_11_2001,2001-09-11,17.38838527294453,12.652220210175313,-0.1007332591756116
MSI,boston_marathon_2013,2013-04-15,-7.650001179340071,-3.8587549054249437,-0.29783489193238033
MSI,post_soleimani_2020,2020-01-03,7.087240278187257,-20.355427703967756,-16.561009150283766
PLTR,9_11_2001,2001-09-11,,,
PLTR,boston_marathon_2013,2013-04-15,,,
PLTR,post_soleimani_2020,2020-01-03,,,
LDOS,9_11_2001,2001-09-11,,,
LDOS,boston_marathon_2013,2013-04-15,10.224815371788164,11.18341195958128,47.97779039687047
LDOS,post_soleimani_2020,2020-01-03,2.9955489987635087,-10.55228412718755,-5.50901209600222
BAH,9_11_2001,2001-09-11,,,
BAH,boston_marathon_2013,2013-04-15,18.722442357217183,35.87276584049803,40.69672682612327
BAH,post_soleimani_2020,2020-01-03,8.09135935748586,-2.6167730257563804,10.247879160289353
SAIC,9_11_2001,2001-09-11,,,
SAIC,boston_marathon_2013,2013-04-15,0.0,0.0,7.694638805857301
SAIC,post_soleimani_2020,2020-01-03,1.846350735203095,-16.044191507424987,-11.661063042881237
MSA,9_11_2001,2001-09-11,28.866007425309625,3.0919292570194212,11.192383624177449
MSA,boston_marathon_2013,2013-04-15,5.167353716584011,6.640597547514404,11.966441433650687
MSA,post_soleimani_2020,2020-01-03,7.05243726127025,-27.417528206748376,-13.025210272210385
PSN,9_11_2001,2001-09-11,,,
PSN,boston_marathon_2013,2013-04-15,,,
PSN,post_soleimani_2020,2020-01-03,-5.082794636016197,-30.91076073644714,-18.10027372295594
LHX,9_11_2001,2001-09-11,21.574503396897214,7.705908944044237,21.434495754945114
LHX,boston_marathon_2013,2013-04-15,16.40186260682612,22.026157260639813,41.5890957408253
LHX,post_soleimani_2020,2020-01-03,4.95081234759851,-12.409412992103274,-18.280137477351722
CRWD,9_11_2001,2001-09-11,,,
CRWD,boston_marathon_2013,2013-04-15,,,
CRWD,post_soleimani_2020,2020-01-03,20.354683410945196,11.704430791544794,102.85713684382696
PANW,9_11_2001,2001-09-11,,,
PANW,boston_marathon_2013,2013-04-15,1.7791569016940123,-9.475912133006425,-12.009281422316331
PANW,post_soleimani_2020,2020-01-03,-0.36312991428359975,-30.101763162251338,-3.1541680450507648
