ticker,company_name,as_of_utc,total_revenue_ttm_m,federal_rev_pct,contract_backlog_m,gross_margin,operating_margin,fcf_m,fcf_margin,ev_ebitda_current,ev_ebitda_5yr_avg,pe_current,revenue_cagr_5y,current_price,shares_outstanding_m,market_cap_m,latest_10k_url,source_urls,data_quality_flags
AXON,"AXON ENTERPRISE, INC.",2026-03-01T16:58:42.613069+00:00,2779.536,0.2,2501.5824,0.5965474093517767,-0.02233322396256066,347.597,0.12505576470317348,816.506,,356.84213,0.3248437327961291,542.4000244140625,80.397675,43607.699456,https://www.sec.gov/Archives/edgar/data/1069183/000162828026011360/axon-20251231.htm,https://data.sec.gov/submissions/CIK0001069183.json|https://efts.sec.gov/LATEST/search-index?q=%220001069183%22&dateRange=custom&startdt=2024-01-01&forms=10-K|https://www.sec.gov/Archives/edgar/data/1069183/000162828026011360/axon-20251231.htm|https://data.sec.gov/api/xbrl/companyfacts/CIK0001069183.json|https://finance.yahoo.com/quote/AXON|https://www.macrotrends.net/stocks/charts/axon/axon/ev-ebitda,backlog_estimated_90pct_of_revenue|ev_ebitda_5y_avg_unavailable
MSI,"Motorola Solutions, Inc.",2026-03-01T16:58:47.400983+00:00,11682.0,0.21,15700.0,0.5166067454203047,0.25577812018489987,2837.0,0.2428522513268276,25.123,,37.88374,0.3873420608614262,482.260009765625,165.658912,80322.813952,https://www.sec.gov/Archives/edgar/data/68505/000006850526000010/msi-20251231.htm,https://data.sec.gov/submissions/CIK0000068505.json|https://efts.sec.gov/LATEST/search-index?q=%220000068505%22&dateRange=custom&startdt=2024-01-01&forms=10-K|https://www.sec.gov/Archives/edgar/data/68505/000006850526000010/msi-20251231.htm|https://data.sec.gov/api/xbrl/companyfacts/CIK0000068505.json|https://finance.yahoo.com/quote/MSI|https://www.macrotrends.net/stocks/charts/msi/msi/ev-ebitda,ev_ebitda_5y_avg_unavailable
PLTR,Palantir Technologies Inc.,2026-03-01T16:58:52.551056+00:00,4475.446,0.46,4027.9014,0.8236651721415028,0.3159495165398041,2168.355,0.4845003157227235,223.077,,217.76192,0.3257731580149814,137.19000244140625,2291.470751,328113.979392,https://www.sec.gov/Archives/edgar/data/1321655/000132165526000011/pltr-20251231.htm,https://data.sec.gov/submissions/CIK0001321655.json|https://efts.sec.gov/LATEST/search-index?q=%220001321655%22&dateRange=custom&startdt=2024-01-01&forms=10-K|https://www.sec.gov/Archives/edgar/data/1321655/000132165526000011/pltr-20251231.htm|https://data.sec.gov/api/xbrl/companyfacts/CIK0001321655.json|https://finance.yahoo.com/quote/PLTR|https://www.macrotrends.net/stocks/charts/pltr/pltr/ev-ebitda,backlog_estimated_90pct_of_revenue|ev_ebitda_5y_avg_unavailable
LDOS,"Leidos Holdings, Inc.",2026-03-01T16:58:58.494239+00:00,17107.0,0.87,49000.0,0.1772373882036593,0.12328286666276962,1871.0,0.10937043315601801,11.051,,15.718133,0.04669098479795197,175.10000610351562,126.392684,22387.441664,https://www.sec.gov/Archives/edgar/data/1336920/000133692026000030/ldos-20260102.htm,https://data.sec.gov/submissions/CIK0001336920.json|https://efts.sec.gov/LATEST/search-index?q=%220001336920%22&dateRange=custom&startdt=2024-01-01&forms=10-K|https://www.sec.gov/Archives/edgar/data/1336920/000133692026000030/ldos-20260102.htm|https://data.sec.gov/api/xbrl/companyfacts/CIK0001336920.json|https://finance.yahoo.com/quote/LDOS|https://www.macrotrends.net/stocks/charts/ldos/ldos/ev-ebitda,ev_ebitda_5y_avg_unavailable
BAH,Booz Allen Hamilton Holding Corp,2026-03-01T16:59:03.513760+00:00,11980.0,0.3,231.0,,0.11435726210350584,1087.437,0.09077103505843072,10.104,,11.695847,0.44463144032719626,78.83000183105469,120.594389,9506.456576,https://www.sec.gov/Archives/edgar/data/1443646/000144364625000076/bah-20250331.htm,https://data.sec.gov/submissions/CIK0001443646.json|https://efts.sec.gov/LATEST/search-index?q=%220001443646%22&dateRange=custom&startdt=2024-01-01&forms=10-K|https://www.sec.gov/Archives/edgar/data/1443646/000144364625000076/bah-20250331.htm|https://data.sec.gov/api/xbrl/companyfacts/CIK0001443646.json|https://finance.yahoo.com/quote/BAH|https://www.macrotrends.net/stocks/charts/bah/bah/ev-ebitda,ev_ebitda_5y_avg_unavailable
SAIC,Science Applications International Corp,2026-03-01T16:59:08.811407+00:00,7479.0,0.2,6731.1,0.11926728172215537,0.07527744350849044,530.0,0.07086508891563043,10.327,,11.797954,0.371717131068793,92.26000213623047,45.127414,4245.989888,https://www.sec.gov/Archives/edgar/data/1571123/000157112325000022/saic-20250131.htm,https://data.sec.gov/submissions/CIK0001571123.json|https://efts.sec.gov/LATEST/search-index?q=%220001571123%22&dateRange=custom&startdt=2024-01-01&forms=10-K|https://www.sec.gov/Archives/edgar/data/1571123/000157112325000022/saic-20250131.htm|https://data.sec.gov/api/xbrl/companyfacts/CIK0001571123.json|https://finance.yahoo.com/quote/SAIC|https://www.macrotrends.net/stocks/charts/saic/saic/ev-ebitda,backlog_estimated_90pct_of_revenue|ev_ebitda_5y_avg_unavailable
MSA,MSA Safety Inc,2026-03-01T16:59:14.205116+00:00,510.913,0.2,459.8217,0.46855726904580625,0.7277520830356636,432.305,0.8461421024714579,16.31,,27.561354,0.05644658898690347,195.41000366210938,38.774722,7650.704896,https://www.sec.gov/Archives/edgar/data/66570/000006657026000005/msa-20251231.htm,https://data.sec.gov/submissions/CIK0000066570.json|https://efts.sec.gov/LATEST/search-index?q=%220000066570%22&dateRange=custom&startdt=2024-01-01&forms=10-K|https://www.sec.gov/Archives/edgar/data/66570/000006657026000005/msa-20251231.htm|https://data.sec.gov/api/xbrl/companyfacts/CIK0000066570.json|https://finance.yahoo.com/quote/MSA|https://www.macrotrends.net/stocks/charts/msa/msa/ev-ebitda,backlog_estimated_90pct_of_revenue|ev_ebitda_5y_avg_unavailable
PSN,PARSONS CORP,2026-03-01T16:59:19.088440+00:00,6364.245,0.045279999999999994,8700.0,,0.06569105997647796,478.382,0.07516712508710774,15.115,,30.0,0.45851442207841275,66.0,105.831019,7028.246528,https://www.sec.gov/Archives/edgar/data/275880/000119312526045495/psn-20251231.htm,https://data.sec.gov/submissions/CIK0000275880.json|https://efts.sec.gov/LATEST/search-index?q=%220000275880%22&dateRange=custom&startdt=2024-01-01&forms=10-K|https://www.sec.gov/Archives/edgar/data/275880/000119312526045495/psn-20251231.htm|https://data.sec.gov/api/xbrl/companyfacts/CIK0000275880.json|https://finance.yahoo.com/quote/PSN|https://www.macrotrends.net/stocks/charts/psn/psn/ev-ebitda,ev_ebitda_5y_avg_unavailable
LHX,"L3HARRIS TECHNOLOGIES, INC. /DE/",2026-03-01T16:59:24.783002+00:00,21865.0,0.75,38700.0,0.024340269837640063,0.09650125771781386,3530.0,0.16144523210610565,19.52,,42.73623,0.041831793764659286,364.5400085449219,186.776263,68188.246016,https://www.sec.gov/Archives/edgar/data/202058/000020205826000015/hrs-20260102.htm,https://data.sec.gov/submissions/CIK0000202058.json|https://efts.sec.gov/LATEST/search-index?q=%220000202058%22&dateRange=custom&startdt=2024-01-01&forms=10-K|https://www.sec.gov/Archives/edgar/data/202058/000020205826000015/hrs-20260102.htm|https://data.sec.gov/api/xbrl/companyfacts/CIK0000202058.json|https://finance.yahoo.com/quote/LHX|https://www.macrotrends.net/stocks/charts/lhx/lhx/ev-ebitda,ev_ebitda_5y_avg_unavailable
CRWD,"CrowdStrike Holdings, Inc.",2026-03-01T16:59:29.656229+00:00,3953.624,0.2,2800.0,0.749222232564351,-0.030460660902503628,1636.579,0.41394401693231325,-957.485,,,0.5236861156860437,371.9800109863281,252.09844,93775.577088,https://www.sec.gov/Archives/edgar/data/1535527/000153552725000009/crwd-20250131.htm,https://data.sec.gov/submissions/CIK0001535527.json|https://efts.sec.gov/LATEST/search-index?q=%220001535527%22&dateRange=custom&startdt=2024-01-01&forms=10-K|https://www.sec.gov/Archives/edgar/data/1535527/000153552725000009/crwd-20250131.htm|https://data.sec.gov/api/xbrl/companyfacts/CIK0001535527.json|https://finance.yahoo.com/quote/CRWD|https://www.macrotrends.net/stocks/charts/crwd/crwd/ev-ebitda,ev_ebitda_5y_avg_unavailable
PANW,Palo Alto Networks Inc,2026-03-01T16:59:35.399441+00:00,9221.5,0.2,8299.35,0.734143035297945,0.1347828444396248,3716.0,0.4029713170308518,81.022,,82.73334,0.5753571506728861,148.9199981689453,816.0,121518.718976,https://www.sec.gov/Archives/edgar/data/1327567/000132756725000027/panw-20250731.htm,https://data.sec.gov/submissions/CIK0001327567.json|https://efts.sec.gov/LATEST/search-index?q=%220001327567%22&dateRange=custom&startdt=2024-01-01&forms=10-K|https://www.sec.gov/Archives/edgar/data/1327567/000132756725000027/panw-20250731.htm|https://data.sec.gov/api/xbrl/companyfacts/CIK0001327567.json|https://finance.yahoo.com/quote/PANW|https://www.macrotrends.net/stocks/charts/panw/panw/ev-ebitda,backlog_estimated_90pct_of_revenue|ev_ebitda_5y_avg_unavailable
